#-------------------------------------------
# Food Diary Report - Detailed Report,"Thursday, August 1, 2019","Saturday, August 31, 2019"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,2682,103.96,248.17,118.58
Breakfast,507,21.69,51.8,21.11
Lunch,645,28.17,65.92,29.04
Dinner,783,30.6,66.8,32.39
Snacks/Other,747,23.5,63.65,36.04

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Thursday, August 1, 2019",2409,107.02,25.037,278.2,11.1,16.44,84.25,1450.43,0,74
 Breakfast,567,28.3,14.6,53.08,3.5,11.08,23.08,0.43,,
  Pågen Hönökaka,290,4,0.5,53,3.5,11,8,0.25,,
   100 g
  Norrmejerier Norrgott Mellan,75,8.7,3.9,0.08,,0.08,0.08,0.18,,
   15 g
  Arla Hushållsost 26%,202,15.6,10.2,0,0,0,15,,,
   60 g
 Lunch,608,23.7,,67,,,28.7,,,
  Scan Mammas Köttbullar,330,22.5,,12,,,19.5,,,
   150 g
  Pasta (Kokt),278,1.2,,55,,,9.2,,,
   200 g
 Dinner,874,37.53,6.158,108.88,7.6,5.36,28.5,1178,0,
  Falafelrulle,874,37.53,6.158,108.88,7.6,5.36,28.5,1178,0,
   1 wrap
 Snacks/Other,360,17.49,4.279,49.24,,,3.97,272,0,74
  Blåbärspaj,360,17.49,4.279,49.24,,,3.97,272,0,74
   1 piece (1/8 9" dia)

"Friday, August 2, 2019",2237,89.82,23.571,180.09,5.98,18.65,88.22,1058.16,0,473
 Breakfast,604,28.59,14.49,57.64,3.48,9.52,24.75,780,,
  Polarbröd Pärlan Vete,324,4.44,0.84,57.6,3.48,9.48,9.72,720,,
   120 g
  Bregott Mellan,78,8.55,3.45,0.04,,0.04,0.03,60,,
   15 g
  Arla Hushållsost 26%,202,15.6,10.2,0,0,0,15,,,
   60 g
 Lunch,498,16.2,,63,,,22.2,,,
  Pasta (Kokt),278,1.2,,55,,,9.2,,,
   200 g
  Scan Mammas Köttbullar,220,15,,8,,,13,,,
   100 g
 Dinner,663,19.33,4.181,13.23,1.1,4.71,29.95,278,0,473
  Blandad Sallad,9,0.13,0.021,1.76,1.1,0.48,0.84,16,0,160
   1 cup shredded or chopped
  Omega Laxfilé,288,19.2,4.16,0,,,28.8,240,,
   160 g
  Vitt Bordsvin,366,0,0,11.47,0,4.23,0.31,22,0,313
   3 5 fl oz servings
 Snacks/Other,472,25.7,4.9,46.22,1.4,4.42,11.32,0.16,,
  Pågen Hönökaka,116,1.6,0.2,21.2,1.4,4.4,3.2,0.1,,
   40 g
  Norrmejerier Norrgott Mellan,25,2.9,1.3,0.02,,0.02,0.02,0.06,,
   5 g
  Arla Hushållsost 26%,67,5.2,3.4,0,0,0,5,,,
   20 g
  Lindt À Touch Of Sea Salt,264,16,,25,,,3.1,,,
   50 g

"Saturday, August 3, 2019",3179,152.45,52.955,248.43,20.08,39.2,105.47,4495.16,84,1773
 Breakfast,604,28.59,14.49,57.64,3.48,9.52,24.75,780,,
  Arla Hushållsost 26%,202,15.6,10.2,0,0,0,15,,,
   60 g
  Bregott Mellan,78,8.55,3.45,0.04,,0.04,0.03,60,,
   15 g
  Polarbröd Pärlan Vete,324,4.44,0.84,57.6,3.48,9.48,9.72,720,,
   120 g
 Lunch,599,40.4,17.8,40.5,1.2,5.5,20.4,2001.16,,
  Lithells Varmkorv,290,25,13,8,0,2.5,9,2000,,
   100 g
  Scan Chorizo,135,11.5,4.5,2.5,0,0.3,6,1.05,,
   50 g
  Korvbrödsbagarn Korvbröd,174,3.9,0.3,30,1.2,2.7,5.4,0.11,,
   60 g
 Dinner,704,21.16,10.868,65.8,5.7,10.91,35.8,1285,84,1012
  Lasagne med Kött,570,21.03,10.847,60.2,4.6,9.52,34.86,1263,84,665
   350 g
  Blandad Sallad,9,0.13,0.021,1.76,1.1,0.48,0.84,16,0,160
   1 cup shredded or chopped
  Rött Bordsvin,125,0,0,3.84,0,0.91,0.1,6,0,187
   1 5 fl oz serving
 Snacks/Other,1272,62.3,9.797,84.49,9.7,13.27,24.52,429,0,761
  ICA Kanelbulle,220,6,1,38,1.4,8,4,0,,
"   2 x 1 kanelbulle, 70 g"
  Blandade Nötter,617,56.3,8.797,21.58,8.3,4.25,16.51,396,0,574
   100 g
  Starköl,310,0,0,21.07,0,0.11,3.91,27,0,
   2 bottles (330 ml)
  Rött Bordsvin,125,0,0,3.84,0,0.91,0.1,6,0,187
   1 5 fl oz serving

"Sunday, August 4, 2019",2782,95.66,31.718,233.34,11.46,34.9,110.98,1480.64,223,774
 Breakfast,616,28.55,14.7,61.78,4.2,10.68,25.33,0.72,,
  Pågen Roast'n Toast,312,4.2,0.6,55.2,4.2,4.2,10.2,0.54,,
   120 g
  Arla Hushållsost 26%,202,15.6,10.2,0,0,0,15,,,
   60 g
  Norrmejerier Norrgott Mellan,75,8.7,3.9,0.08,,0.08,0.08,0.18,,
   15 g
  Önos Gunillas Apelsinmarmelad,27,0.05,,6.5,,6.4,0.05,,,
   10 g
 Lunch,501,15.17,7.101,63.67,3.66,15.13,26.93,599.22,186,215
  Philadelphia Original,70,6.45,4.35,1.2,0.06,1.2,1.65,0.22,,
   30 g
  Sesambagel,276,2.69,0.548,52.47,2.5,5.21,10.68,461,0,
   1 regular
  Kokt Ägg,68,4.65,1.432,0.49,0,0.49,5.51,122,186,55
   1 medium
  Blandad Sallad,9,0.13,0.021,1.76,1.1,0.48,0.84,16,0,160
   1 cup shredded or chopped
  Valio Laktosfri Lättmjölk,78,1.25,0.75,7.75,0,7.75,8.25,0,,
   250 ml
 Dinner,911,51.57,9.617,65.31,3.6,8.5,19.45,826.7,37,559
  Pommes Frites,156,8.01,1.869,20.33,1.9,0.33,1.98,171,0,300
   1 order
  ICA Coleslaw,240,23,2.5,5.3,,2,1.4,0.7,,
   100 g
  Hamburgare med Majonnäs eller Salladsdressing och Tomater i Bröd,360,20.56,5.248,29.15,1.7,6.12,14.12,641,37,259
   1 hamburger
  Starköl,155,0,0,10.53,0,0.05,1.95,14,0,
   1 bottle (330 ml)
 Snacks/Other,754,0.37,0.3,42.58,0,0.59,39.27,54,0,
  Star Nutrition Whey-100,135,0.37,0.3,0.44,,0.37,31.45,,,
   37 g
  Starköl,619,0,0,42.14,0,0.22,7.82,54,0,
   4 bottles (330 ml)

"Monday, August 5, 2019",2562,113.9,35.596,239.06,6.08,48.93,81.51,4340.05,55,465
 Breakfast,604,28.59,14.49,57.64,3.48,9.52,24.75,780,,
  Polarbröd Pärlan Vete,324,4.44,0.84,57.6,3.48,9.48,9.72,720,,
   120 g
  Arla Hushållsost 26%,202,15.6,10.2,0,0,0,15,,,
   60 g
