#-------------------------------------------
# Food Diary Report - Detailed Report,"Monday, February 1, 2021","Sunday, February 28, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,3185,107.9,331.41,163.61
Breakfast,525,18.59,63.65,21.01
Lunch,618,21.75,72.91,30.77
Dinner,795,30.49,72.61,42.62
Snacks/Other,1246,37.07,122.23,69.21

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Monday, February 1, 2021",2844,85.53,43.77,369.58,22.35,163.27,141.03,517.5,0,1504
 Breakfast,485,16.34,8.612,61.04,1.45,27.04,18.46,2.05,0,150
  AXA Musli Gold,185,4.25,1,30,0.75,,4.25,0.05,,
   50 g
  Russin,60,0.09,0.012,15.84,0.7,11.84,0.61,2,0,150
   20 g
  Norrmejerier Laktosfri Filmjölk,240,12,7.6,15.2,,15.2,13.6,,,
   400 ml
 Lunch,582,17.98,9.149,79.82,4.75,33.18,20.69,71.15,0,470
  Pågen Kardemumma Skorpor,56,1.4,0.5,9.2,0.5,1.6,1.3,0.1,,
"   1 portion, 13 g"
  AXA Musli Gold,185,4.25,1,30,0.75,,4.25,0.05,,
   50 g
  Norrmejerier Laktosfri Filmjölk,240,12,7.6,15.2,,15.2,13.6,,,
   400 ml
  Morötter,41,0.24,0.037,9.58,2.8,4.54,0.93,69,0,320
   100 g
  Russin,60,0.09,0.012,15.84,0.7,11.84,0.61,2,0,150
   20 g
 Dinner,860,30.7,15.64,100.69,7.6,35.64,47.54,440,,
  Arla Hushållsost 26%,34,2.6,1.7,0,0,0,2.5,,,
   10 g
  Pågen Limpa,216,1.6,0.24,40.8,3.6,8,7.2,320,,
   80 g
  Valio Laktosfri Lättmjölk,186,3,1.8,18.6,0,18.6,19.8,0,,
   600 ml
  Bregott Bregott Normalsaltat,68,7.5,3.4,0.04,0,0.04,0.04,120,,
   10 g
  BOB Lingonsylt Original,38,0,0,18.25,,9,0,,,
   25 g
  Arla Hushållsost 26%,168,13,8.5,0,0,0,12.5,,,
   50 g
  AXA Havregrynsgröt,150,3,,23,4,,5.5,0,,
"   1 portion, 40 g"
 Snacks/Other,917,20.51,10.369,128.03,8.55,67.41,54.34,4.3,0,884
  Star Nutrition Whey-100,135,0.37,0.3,0.44,,0.37,31.45,,,
   37 g
  Apelsiner,62,0.16,0.02,15.39,3.1,12.25,1.23,0,0,237
   1 fruit (2-5/8" dia)
  Banan,105,0.39,0.132,26.95,3.1,14.43,1.29,1,0,422
   1 medium (7" to 7-7/8" long)
